"url","user","problem"
"https://www.hackerrank.com/rest/contests/master/challenges/happy-ladybugs/hackers/harshnikam4536/download_solution","harshnikam4536","happy-ladybugs"
"https://www.hackerrank.com/rest/contests/master/challenges/strange-code/hackers/harshnikam4536/download_solution","harshnikam4536","strange-code"
"https://www.hackerrank.com/rest/contests/master/challenges/3d-surface-area/hackers/harshnikam4536/download_solution","harshnikam4536","3d-surface-area"
"https://www.hackerrank.com/rest/contests/master/challenges/absolute-permutation/hackers/harshnikam4536/download_solution","harshnikam4536","absolute-permutation"
"https://www.hackerrank.com/rest/contests/master/challenges/bomber-man/hackers/harshnikam4536/download_solution","harshnikam4536","bomber-man"
"https://www.hackerrank.com/rest/contests/master/challenges/two-pluses/hackers/harshnikam4536/download_solution","harshnikam4536","two-pluses"
"https://www.hackerrank.com/rest/contests/master/challenges/larrys-array/hackers/harshnikam4536/download_solution","harshnikam4536","larrys-array"
"https://www.hackerrank.com/rest/contests/master/challenges/almost-sorted/hackers/harshnikam4536/download_solution","harshnikam4536","almost-sorted"
"https://www.hackerrank.com/rest/contests/master/challenges/matrix-rotation-algo/hackers/harshnikam4536/download_solution","harshnikam4536","matrix-rotation-algo"
"https://www.hackerrank.com/rest/contests/master/challenges/big-sorting/hackers/harshnikam4536/download_solution","harshnikam4536","big-sorting"
"https://www.hackerrank.com/rest/contests/master/challenges/reduced-string/hackers/harshnikam4536/download_solution","harshnikam4536","reduced-string"
"https://www.hackerrank.com/rest/contests/master/challenges/tutorial-intro/hackers/harshnikam4536/download_solution","harshnikam4536","tutorial-intro"
"https://www.hackerrank.com/rest/contests/master/challenges/camelcase/hackers/harshnikam4536/download_solution","harshnikam4536","camelcase"
"https://www.hackerrank.com/rest/contests/master/challenges/insertionsort1/hackers/harshnikam4536/download_solution","harshnikam4536","insertionsort1"
"https://www.hackerrank.com/rest/contests/master/challenges/strong-password/hackers/harshnikam4536/download_solution","harshnikam4536","strong-password"
"https://www.hackerrank.com/rest/contests/master/challenges/two-characters/hackers/harshnikam4536/download_solution","harshnikam4536","two-characters"
"https://www.hackerrank.com/rest/contests/master/challenges/insertionsort2/hackers/harshnikam4536/download_solution","harshnikam4536","insertionsort2"
"https://www.hackerrank.com/rest/contests/master/challenges/correctness-invariant/hackers/harshnikam4536/download_solution","harshnikam4536","correctness-invariant"
"https://www.hackerrank.com/rest/contests/master/challenges/caesar-cipher-1/hackers/harshnikam4536/download_solution","harshnikam4536","caesar-cipher-1"
"https://www.hackerrank.com/rest/contests/master/challenges/mars-exploration/hackers/harshnikam4536/download_solution","harshnikam4536","mars-exploration"
"https://www.hackerrank.com/rest/contests/master/challenges/runningtime/hackers/harshnikam4536/download_solution","harshnikam4536","runningtime"
